state_name,Region,incidence.9201,cases.9201,incidence.1519,cases.1519,incidence.all,cases.all,cases.ratio,incidence.ratio,incidence.diff,fips,abbr,cases.MFB
Alabama,2,0.161368660744544,7,1.37810964699721,67.2,0.53693170092006,24.6785714285714,9.6,8.54013189821807,1.21674098625267,01,AL,1.62264150943396
Alaska,0,0.0653187809621228,0.4,0.325614638331681,2.4,0.164824197978745,1.10714285714286,,4.98500788801461,0.260295857369558,02,AK,1.42857142857143
Arizona,7,0.397202948644724,18.4,1.18860200461841,83.8,0.695579716526636,40.1428571428572,4.55434782608696,2.99242996224973,0.79139905597369,04,AZ,1.27984344422701
Arkansas,5,0.143838957592077,3.7,1.68702116604769,50.6,0.592050488010779,16.4642857142857,13.6756756756757,11.7285413791168,1.54318220845562,05,AR,1.72744014732965
California,9,0.200991251918859,65.3,1.26159857369103,495.6,0.524019429094013,186.857142857143,7.5895865237366,6.27688300683028,1.06060732177217,06,CA,1.53431984310929
Colorado,7,0.478661473072118,19,1.47227912301787,82.6,0.736266768865875,34.5357142857143,4.34736842105263,3.07582541283001,0.993617649945751,08,CO,1.25196850393701
Connecticut,1,0.274360285752202,9.2,3.1999343006496,114.4,1.32365421280093,46.0714285714286,12.4347826086957,11.6632561883965,2.9255740148974,09,CT,1.70226537216828
Delaware,1,1.90311713163258,14.2,3.44738321675955,33,2.25535492346942,19.0357142857143,2.32394366197183,1.81144037824,1.54426608512697,10,DE,0.796610169491525
District of Columbia,1,1.62496836497758,9.4,4.87957413155852,33.8,2.64470923273283,16.0714285714286,3.59574468085106,3.00287330924492,3.25460576658094,11,DC,1.12962962962963
Florida,2,0.364556857280496,54.7,1.92616490348421,402.6,0.974672117302618,171.892857142857,7.36014625228519,5.28357885750093,1.56160804620372,12,FL,1.52153947080691
Georgia,2,0.311919958022154,23.7,1.4417747624479,150,0.656627287595838,58.6071428571429,6.32911392405063,4.62225877301991,1.12985480442575,13,GA,1.45423143350605
Hawaii,0,0.333437921694772,4,0.689124725809226,9.8,0.359603780319643,4.67857142857143,2.45,2.06672571106069,0.355686804114454,15,HI,0.840579710144928
Idaho,8,0.223474525642212,2.7,0.873234828563628,15,0.506841175727426,7.28571428571429,5.55555555555556,3.9075363335224,0.649760302921416,16,ID,1.38983050847458
Illinois,3,0.296868115597476,36,3.27000261224347,417.6,1.20232447649677,150.571428571429,11.6,11.0150010743399,2.97313449664599,17,IL,1.68253968253968
Indiana,3,0.882005476341589,52.2,3.17745882505434,211.8,1.35075541807892,84.75,4.05747126436782,3.60253865796152,2.29545334871275,18,IN,1.20909090909091
Iowa,4,0.57586539125665,16.6,1.49704709053994,47,0.708100707921593,21.1785714285714,2.83132530120482,2.59964761430288,0.921181699283293,19,IA,0.955974842767296
Kansas,5,0.213292007499042,5.6,1.40174913555368,40.8,0.501821054285165,13.8571428571429,7.28571428571429,6.57197216149776,1.18845712805463,20,KS,1.51724137931034
Kentucky,3,0.442668478859833,17.4,2.57133522245556,114.4,1.16999590424572,48.9285714285714,6.57471264367816,5.80871542757792,2.12866674359573,21,KY,1.47192716236722
Louisiana,5,0.190880658367388,8.4,0.926171801353128,43.2,0.414053433595606,18.6428571428571,5.14285714285714,4.85209873684806,0.735291142985741,22,LA,1.34883720930233
Maine,1,0.326446506365508,4.1,1.67728447643266,22.4,0.823614340937627,10.7142857142857,5.46341463414634,5.13800712743629,1.35083797006715,23,ME,1.3811320754717
Maryland,1,0.865718972213767,44.5,3.70835145003686,223.2,2.0100957815458,111.75,5.01573033707865,4.28355109343864,2.84263247782309,24,MD,1.33507657825925
Massachusetts,1,0.483249765756757,30,3.26688973966859,223.8,1.55353884915112,100.5,7.46,6.76025105682715,2.78363997391184,25,MA,1.52718676122931
Michigan,4,0.751413762441369,73.3,4.16647190685069,415.2,1.80446021905309,178.464285714286,5.6643929058663,5.54484375334527,3.41505814440932,26,MI,1.39979529170931
Minnesota,4,0.310115728227993,14.7,1.91969719688619,106.8,0.76136367561818,38.9642857142857,7.26530612244898,6.19026067415342,1.6095814686582,27,MN,1.51604938271605
Mississippi,5,0.272230694243079,7.5,1.40730975450621,42,0.495992510711485,14.2857142857143,5.6,5.16954841708479,1.13507906026313,28,MS,1.39393939393939
Missouri,3,0.46476676625902,25.3,2.54876494975133,155.6,1.04624504571107,60.3928571428572,6.1501976284585,5.48396558184814,2.08399818349231,29,MO,1.44057490326147
Montana,6,0.478077799421549,4.2,1.12311233845504,11.8,0.611749868464396,5.82142857142857,2.80952380952381,2.3492250420621,0.645034539033494,30,MT,0.95
Nebraska,6,0.902694117495145,15.1,1.59826810414691,30.6,0.933382274213671,16.5714285714286,2.02649006622517,1.77055336151064,0.695573986651766,31,NE,0.678336980306346
Nevada,9,0.698530077337176,12,0.713232974725177,21.2,0.627897005641678,14.6785714285714,1.76666666666667,1.02104833831071,0.0147028973880011,32,NV,0.554216867469879
New Hampshire,1,0.464728775836808,5.5,3.44181989193872,46.4,1.41062279895776,17.9285714285714,8.43636363636364,7.40608301205635,2.97709111610192,33,NH,1.57610789980732
New Jersey,1,0.343245191754781,28.1,3.03880050412101,269.8,1.49395681119796,127.892857142857,9.60142348754448,8.85314806184369,2.69555531236623,34,NJ,1.62269217858342
New Mexico,7,0.177994055228225,3.1,0.908024306376959,19,0.417739056977287,8.03571428571429,6.12903225806452,5.10143052369184,0.730030251148734,35,NM,1.43891402714932
New York,1,0.587972234160923,109.7,5.21042078434501,1019.8,2.28117665433318,436.321428571429,9.29626253418414,8.86167829299054,4.62244855018408,36,NY,1.61150951748561
North Carolina,2,0.289377021088727,21.9,2.14128314804707,219.8,0.863875243760854,76.0714285714286,10.0365296803653,7.39963090362494,1.85190612695834,37,NC,1.63756723210592
North Dakota,6,0.26376835924754,1.7,0.951478809509713,7.2,0.459302959716596,3.10714285714286,,3.60725149985398,0.687710450262173,38,ND,1.23595505617978
Ohio,3,1.22326719686596,137.5,5.81876331700602,678.2,2.60336814828777,297.785714285714,4.93236363636364,4.75673943674271,4.59549612014006,39,OH,1.32573249969352
Oklahoma,5,0.298162110858939,10,1.46457907870145,57.6,0.578306674880998,20.8571428571429,5.76,4.91202277339102,1.16641696784251,40,OK,1.40828402366864
Oregon,8,0.00614378716741645,0.2,0.997626230712398,41.2,0.424882284057259,15.4642857142857,,162.379685937577,0.991482443544982,41,OR,1.98067632850242
Pennsylvania,1,1.14602125218181,139.9,3.85880326158935,493.6,2.33486943972509,291.642857142857,3.52823445318084,3.36713063064311,2.71278200940754,42,PA,1.11665351223362
Rhode Island,1,1.76941800147542,18.2,4.33207041184558,45.8,2.76621761506937,29,2.51648351648352,2.44830244082139,2.56265241037016,44,RI,0.8625
South Carolina,2,0.409101459976275,15.7,1.2189271178779,61.2,0.574110739834581,24.9642857142857,3.89808917197452,2.97952277644912,0.809825657901625,45,SC,1.18335500650195
South Dakota,6,0.418896445690684,3.1,2.06744036410841,18,0.920210239170309,7.28571428571429,5.80645161290323,4.93544498975057,1.64854391841772,46,SD,1.41232227488152
Tennessee,3,0.487806359651161,26.5,2.30126381115996,154.4,1.08500039717069,65.2857142857143,5.82641509433962,4.71757648425419,1.8134574515088,47,TN,1.41404090657822
Texas,5,0.106902804083057,20.9,1.22076976490296,345,0.527266559340843,122.857142857143,16.5071770334928,11.4194363316653,1.1138669608199,48,TX,1.77152227384531
Utah,7,0.649186869402116,13.5,1.05914053458052,32.8,0.855390052057282,21.5714285714286,2.42962962962963,1.6314879189654,0.409953665178403,49,UT,0.833693304535637
Vermont,1,0.976230964127383,5.8,2.53078264613508,15.8,1.61976353899455,9.92857142857143,2.72413793103448,2.59240153112461,1.5545516820077,50,VT,0.925925925925926
Virginia,2,0.466360909469682,31.7,2.14561278014973,181.4,1.05702832923183,80.0357142857143,5.72239747634069,4.60075605948533,1.67925187068005,51,VA,1.40497419052088
Washington,8,0.262272165106858,14.7,0.834671508949948,61.8,0.444983724565961,28.3214285714286,4.20408163265306,3.18246318136687,0.57239934384309,53,WA,1.23137254901961
West Virginia,3,0.0661304880176516,1.2,3.57672881187122,65,1.26007768652867,23,,54.0859279749534,3.51059832385357,54,WV,1.92749244712991
Wisconsin,4,0.913326255500689,47.8,3.3570961864009,194.4,1.46070967883399,80.5357142857143,4.06694560669456,3.67568124334773,2.44376993090021,55,WI,1.21056977704377
Wyoming,6,0.803474801897107,3.9,0.654017959333163,3.8,0.66118155843192,3.5,0.974358974358974,0.813986895157064,-0.149456842563944,56,WY,-0.025974025974026
